genome_record_id	sample_id	biosample_accession	assembly_accession	run_accession	country_iso3	country_name	collection_date_raw	date_lower	date_upper	year	month	quarter	date_resolution	date_month_or_quarter	project_id	project_id_source	source_dataset	source_role	model_denominator_role	genome_candidate	genome_qc_status	genome_observation_eligible	sampling_process_observed	sequencing_success	ct_value	specimen_type	preliminary_lineage_id	lineage_definition_status	published_branch	published_lineage	published_sublineage	ptxP_label	fim3_label	marker_23s_status	duplicate_of_focal	duplicate_group_size	data_freeze_date	provenance_note	local_fasta_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	continent	sequence_acquisition	period_stratum	lineage_stratum	rank_hash	route_priority	date_priority	selection_reason	background_replicate
BG::SAMN05948796	SAMN05948796-SRR9006220	SAMN05948796	GCA_002859585.1	SRR9006220	USA	USA	2012	2012-01-01	2012-12-31	2012			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			United States Sublineage 1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1	United States Sublineage 1	ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2010_2014	United States Sublineage 1	02c6ab9237f48e3e322f867c7b3d1c894e2526617f7c0edf38ff9a86a181e8db	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751250	SAMEA751250-ERR030011	SAMEA751250	GCA_001193455.1	ERR030011	USA	USA	2000	2000-01-01	2000-12-31	2000			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2000_2009	ptxP3/fim3-2	0392ef174c1e5b202a86831fbb5d6f4c09f96e32283b662c63f6b12f0f887f48	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751143	SAMEA751143-ERR031089	SAMEA751143	GCA_001331555.1	ERR031089	FIN	Finland	1964	1964-01-01	1964-12-31	1964			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3845233	68	566	11542	ok	Europe	local_fasta	pre2000	ptxP1/fim3-1	03fb25380f9dba9a66e1f3a01f8409d607dd990cf8c45abb54aef05d7e361e84	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN05776224	SAMN05776224-GCA_020536205.1	SAMN05776224	GCA_020536205		BRA	Brazil	2004	2004-01-01	2004-12-31	2004			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3825895	68	287	21026	ok	South_America	local_fasta	2000_2009	ptxP3/fim3-2	041f67b58f5917b76f95f727879afad5d0c7baf2e2b9931ad78b8de4c20fb433	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN22091640	SAMN22091640-SRR17115542	SAMN22091640	GCA_020736265.1	SRR17115542	DEU	Germany							unknown	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			others	published_background_annotation_not_model_lineage	Branch_I	others		ptxP4	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4096524	67.5	1	4096524	ok	Europe	local_fasta	unknown	others	0436fd72eb9a08801d63d878e1e9f001ea0f2776a9792d4f4e9b6286934ffa4d	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN05583850	SAMN05583850-SRR9006131	SAMN05583850	GCA_002286135.1	SRR9006131	USA	USA	2003	2003-01-01	2003-12-31	2003			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4105336	67.5	1	4105336	ok	North_America	local_fasta	2000_2009	ptxP3/fim3-1	04f648801f6ffc0d77fd068f1b8fe367c8a3f81608246815e368277d7db27ac4	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN10298220	SAMN10298220-SRR9118369	SAMN10298220	GCA_008822885.1	SRR9118369	USA	USA	2016	2016-01-01	2016-12-31	2016			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2015_2019	ptxP3/fim3-2	054de0229d7a61f797d514d39f8470877e3c29c5d8e309ac8b7e79ad8510de5e	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN03566785	SAMN03566785-GCA_001307685.1	SAMN03566785	GCA_001307685		NLD	Netherlands	2010	2010-01-01	2010-12-31	2010			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4110990	67.5	1	4110990	ok	Europe	local_fasta	2010_2014	ptxP3/fim3-1	05edd564d17ac067089b76cd612ed2e8f7361f07b365f203b00fdf1b52d32523	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751162	SAMEA751162-ERR029337	SAMEA751162	GCA_001200175.1	ERR029337	DNK	Denmark	1962	1962-01-01	1962-12-31	1962			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3835481	68	284	20442	ok	Europe	local_fasta	pre2000	ptxP1/fim3-1	0600fb1d6f6971e4181ac74632f6b6e146018e8cd2c0482912770788a901201a	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN14488305	SAMN14488305-SRR11455792	SAMN14488305	GCA_030253275.1	SRR11455792	USA	USA	2019	2019-01-01	2019-12-31	2019			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2015_2019	ptxP3/fim3-1	06b52b0bac63d1d40a4b5e0ea1d7992a25f066e00818e0ea4b4e4a01ac48a298	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN03996251	SAMN03996251-SRR2823948	SAMN03996251	GCA_001525555.2	SRR2823948	USA	USA	1952	1952-01-01	1952-12-31	1952			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			others	published_background_annotation_not_model_lineage	Branch_I	others		ptxP4	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4136096	67.5	4	3304537	ok	North_America	local_fasta	pre2000	others	08c8279bcabd48cf284f34b409212a623badc79f92de8273fb668534801bdbb5	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN11539704	SAMN11539704-SRR9002870	SAMN11539704	GCA_050563015.1	SRR9002870	USA	USA	2018	2018-01-01	2018-12-31	2018			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			MS-MT28	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1	MS-MT28	ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2015_2019	MS-MT28	09601ff51710f49747d8eee39626a4a3c1cad915518f591a395af764c254f1ce	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN05583818	SAMN05583818-SRR9006157	SAMN05583818	GCA_002310915.1	SRR9006157	USA	USA	2005	2005-01-01	2005-12-31	2005			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2000_2009	ptxP3/fim3-1	098009c74c1ee74b766bb17f4dd9b884414930e9c374ac92c289f003b89f1f77	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751288	SAMEA751288-ERR028826	SAMEA751288	GCA_001332215.1	ERR028826	SWE	Sweden	2000	2000-01-01	2000-12-31	2000			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3753960	67.5	929	7183	ok	Europe	local_fasta	2000_2009	ptxP1/fim3-1	0ce403020719134c79c655639b333df597d9189ae0b57047592bc7872138afb3	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN10176206	SAMN10176206-SRR9118472	SAMN10176206	GCA_008817915.1	SRR9118472	USA	USA	2015	2015-01-01	2015-12-31	2015			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2015_2019	ptxP3/fim3-1	0db94a6a460bfef0e7bc49afd092d452b270b91aba70fe2fa4dd15213c62d4bc	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA1931350	SAMEA1931350-GCA_001202695.1	SAMEA1931350	GCA_001202695	ERR361857	NLD	Netherlands	1965	1965-01-01	1965-12-31	1965			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3656794	67.5	1165	5907	ok	Europe	local_fasta	pre2000	ptxP1/fim3-1	0e9d7eae4fb4e2a20b1ab99be81ac55762d08f80b4bc4a65d8e46a114ccc9f41	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751147	SAMEA751147-ERR029996	SAMEA751147	GCA_001193935.1	ERR029996	FIN	Finland	1991	1991-01-01	1991-12-31	1991			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3738625	67.5	977	6883	ok	Europe	local_fasta	pre2000	ptxP1/fim3-1	1043a2c7672721d8f051060be732df344a1c55b486778faecd928d85c649565b	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN03566786	SAMN03566786-GCA_001307705.1	SAMN03566786	GCA_001307705		NOR	Norway	2009	2009-01-01	2009-12-31	2009			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4103254	67.5	1	4103254	ok	Europe	local_fasta	2000_2009	ptxP3/fim3-1	11d1133a1779274b88a047c319b82bcc5af90e4c034448fd1c772c5f4498dba7	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA1931344	SAMEA1931344-GCA_001330995.1	SAMEA1931344	GCA_001330995	ERR361831	NLD	Netherlands	1950	1950-01-01	1950-12-31	1950			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			others	published_background_annotation_not_model_lineage	Branch_IIa	others		ptxP2	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3709730	67.5	1176	5880	ok	Europe	local_fasta	pre2000	others	129960fb8a19b22c2a46238e0972d46ae739678ab04a2b23070f0d2432a8939e	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN03877216	SAMN03877216-SRR5070896	SAMN03877216	GCA_001687385.1	SRR5070896	USA	USA	1939	1939-01-01	1939-12-31	1939			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			others	published_background_annotation_not_model_lineage	Branch_IIa	others		ptxP2	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		4134643	67.5	1	4134643	ok	North_America	local_fasta	pre2000	others	134dabeff902ad09d6a37b9b1a0da93688eec013e2ce9b299c945184fd409537	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN18620816	SAMN18620816-SRR14288311	SAMN18620816	GCA_030252875.1	SRR14288311	USA	USA	2020	2020-01-01	2020-12-31	2020			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2020_2022	ptxP3/fim3-2	14da888b9ed9d149f30d98ce6f932a6840f11de1013deb8aecd0d3170956f47b	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN18620823	SAMN18620823-SRR14288304	SAMN18620823	GCA_042465135.1	SRR14288304	USA	USA	2020	2020-01-01	2020-12-31	2020			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	2020_2022	ptxP3/fim3-2	161aa4fe1787ec9962c43463d80de0bc340ea9e93d54d1f0fcc0b5275e1a221f	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA1933007	SAMEA1933007-ERR361840	SAMEA1933007	GCA_001331255.1	ERR361840	KEN	Kenya	1975	1975-01-01	1975-12-31	1975			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3776414	68	771	8665	ok	Africa	local_fasta	pre2000	ptxP1/fim3-1	176db447bedbcde9409d9a5679abd2b90b5e702390a062497c0ee0cf6fedb442	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN05784484	SAMN05784484-GCA_020622475.1	SAMN05784484	GCA_020622475		BRA	Brazil	2008	2008-01-01	2008-12-31	2008			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-2	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3820982	68	285	21042	ok	South_America	local_fasta	2000_2009	ptxP3/fim3-2	17fd698ade3e0b75cddc0544ce01a5dcf5e22296e395fa6a23d6190fe9f31877	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMEA751360	SAMEA751360-ERR031099	SAMEA751360	GCA_001332535.1	ERR031099	NLD	Netherlands	1977	1977-01-01	1977-12-31	1977			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			others	published_background_annotation_not_model_lineage	Branch_IIb	others		ptxP6	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3846818	68	340	18117	ok	Europe	local_fasta	pre2000	others	182cc205b465629888ce51d71855c5d4310e2391fbf136ba2fa8bce4ede6a15b	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN07362434	SAMN07362434-SRR5858785	SAMN07362434	GCA_002406825.1	SRR5858785	MEX	Mexico	2012	2012-01-01	2012-12-31	2012			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP3/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.		3839894	68	301	19284	ok	North_America	local_fasta	2010_2014	ptxP3/fim3-1	19e3d5d27b5fe8b699fc408feb3394abf706cfd06381960e926cebedc0fa7d1e	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
BG::SAMN04994865	SAMN04994865-GCA_001686625.1	SAMN04994865	GCA_001686625		USA	USA	1977	1977-01-01	1977-12-31	1977			year	False		not_available_in_global_compilation	global_8117_compilation	global_tree_background	global_tree_background_only	True	published_global_compilation_qc	False	False	True			ptxP1/fim3-1	published_background_annotation_not_model_lineage	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Excluded from all national case/genome observation denominators; eligible only for stratified tree background.						ok	North_America	local_fasta	pre2000	ptxP1/fim3-1	1b14680436a34cac5d10940a22535a806c19ed95783cf5a1e9527ab0af79b19e	0	True	global_background_country_period_lineage_cap2_prefer_local_and_precise_date	primary
